episode,timestep,reward
36,800,21.1667
66,1600,27.6667
91,2400,31.16
116,3200,32.16
133,4000,43.7059
155,4800,38.6818
163,5600,86.0
175,6400,76.4167
185,7200,71.5
195,8000,77.8
205,8800,90.8
211,9600,134.0
216,10400,147.0
219,11200,260.6667
222,12000,235.6667
226,12800,206.25
229,13600,220.0
233,14400,272.25
238,15200,161.4
242,16000,168.25
245,16800,233.3333
249,17600,255.75
253,18400,194.75
255,19200,295.5
258,20000,267.0
262,20800,249.0
265,21600,284.0
268,22400,207.6667
272,23200,211.0
275,24000,252.3333
278,24800,236.0
281,25600,289.3333
284,26400,329.0
286,27200,400.0
288,28000,399.5
290,28800,400.0
292,29600,380.5
294,30400,326.0
296,31200,400.0
298,32000,398.5
300,32800,400.0
302,33600,400.0
304,34400,400.0
306,35200,400.0
308,36000,361.0
310,36800,395.5
312,37600,399.0
314,38400,400.0
317,39200,358.3333
319,40000,400.0
321,40800,365.5
323,41600,400.0
325,42400,400.0
327,43200,400.0
329,44000,400.0
331,44800,400.0
333,45600,400.0
335,46400,400.0
337,47200,400.0
339,48000,392.5
341,48800,400.0
343,49600,400.0
345,50400,368.5
347,51200,317.5
349,52000,400.0
351,52800,400.0
353,53600,400.0
355,54400,400.0
357,55200,393.0
359,56000,400.0
361,56800,400.0
363,57600,400.0
365,58400,400.0
367,59200,400.0
369,60000,400.0
371,60800,400.0
373,61600,400.0
375,62400,400.0
377,63200,400.0
379,64000,400.0
381,64800,400.0
383,65600,400.0
385,66400,392.0
387,67200,400.0
389,68000,400.0
391,68800,400.0
393,69600,400.0
395,70400,400.0
397,71200,400.0
399,72000,400.0
401,72800,400.0
403,73600,400.0
405,74400,400.0
407,75200,400.0
409,76000,400.0
411,76800,400.0
413,77600,400.0
415,78400,400.0
417,79200,400.0
419,80000,400.0
421,80800,400.0
423,81600,400.0
425,82400,400.0
427,83200,400.0
429,84000,400.0
431,84800,400.0
433,85600,400.0
435,86400,400.0
437,87200,400.0
439,88000,400.0
442,88800,333.6667
444,89600,400.0
446,90400,400.0
448,91200,400.0
450,92000,400.0
452,92800,400.0
454,93600,390.5
456,94400,400.0
458,95200,395.5
460,96000,400.0
462,96800,400.0
464,97600,400.0
466,98400,400.0
468,99200,400.0
470,100000,400.0
